model_description,observed_training_accuracy,observed_validation_accuracy,observed_test_accuracy
cnn-(8-3)-(16-2)-(32-1)-relu-elu-relu-Dropout.5-Dense(64-16-128-5),65%,70%,Untested
reimaging-(8-3)-(16-2)-(GaussianNoise .06)-(32-1)-relu-elu-relu-Dense(12288)-reshape(64-64-3)-(16-2)-(32-1)-elu-relu-Dense(5),64%,69%,Untested
